run,model,stub,synthetic,valid,iterations,kept,reverted,rejected,errored,infra_errors,baseline_val_acc,best_val_acc,test_acc,no_progress,invalid_reason,eps,contract_violation_rate,guard_rejection_rate,wallclock_min,delta_val_acc_pp,total_prompt_tokens,total_completion_tokens,mean_proposer_latency_s,tokens_per_kept
run_3_repetition_0,dense,False,False,True,20,0,1,0,19,0,0.761,0.761,0.7572,True,,0.0123,0.0,0.0,23.3,0.0,67118,42513,62.4,
run_1_repetition_0,dense,False,False,True,20,3,17,0,0,0,0.7658,0.8286,0.822,False,,0.0123,0.0,0.0,39.0,6.28,62970,45380,66.4,15126.0
run_0_repetition_1,dense,False,False,True,10,1,8,0,1,0,0.7634,0.8126,0.8064,False,,0.0123,0.0,0.0,18.0,4.92,27775,20476,59.6,20476.0
run_0_repetition_2,dense,False,False,True,10,1,6,0,3,0,0.769,0.8136,0.8003,False,,0.0123,0.0,0.0,16.6,4.46,28298,20576,60.0,20576.0
run_1_repetition_2,dense,False,False,True,20,0,19,0,1,0,0.7676,0.7676,0.7523,True,,0.0123,0.0,0.0,36.0,0.0,58943,41092,59.9,
run_2_repetition_0,dense,False,False,True,10,2,6,0,2,0,0.7564,0.8282,0.8155,False,,0.0123,0.0,0.0,17.3,7.18,28647,20585,60.1,10292.0
run_0_repetition_0,dense,False,False,True,10,3,4,0,3,0,0.7538,0.864,0.8575,False,,0.0123,0.0,0.0,17.0,11.02,28969,21466,62.7,7155.0
run_3_repetition_1,dense,False,False,True,20,1,10,0,8,0,0.7612,0.8248,0.8145,False,,0.0123,0.0,0.0,31.9,6.36,64463,43242,63.3,43242.0
run_1_repetition_1,dense,False,False,True,20,1,13,0,6,0,0.7602,0.8412,0.8404,False,,0.0123,0.0,0.0,32.6,8.1,60242,41751,61.0,41751.0
run_2_repetition_1,dense,False,False,True,10,0,7,0,3,0,0.7584,0.7584,0.7527,True,,0.0123,0.0,0.0,17.0,0.0,29228,21427,62.5,
run_3_repetition_2,dense,False,False,True,20,0,20,0,0,0,0.7618,0.7618,0.7572,True,,0.0123,0.0,0.0,37.4,0.0,61441,42383,61.9,
run_2_repetition_2,dense,False,False,True,10,0,7,0,3,0,0.7638,0.7638,0.7505,True,,0.0123,0.0,0.0,16.8,0.0,29625,21049,61.5,
run_4_repetition_0,moe,False,False,True,10,1,6,1,2,0,0.763,0.8092,0.7982,False,,0.0123,0.0,0.1,11.8,4.62,29127,21302,31.6,21302.0
run_4_repetition_1,moe,False,False,True,10,1,3,3,3,0,0.765,0.8394,0.8272,False,,0.0123,0.0,0.3,9.3,7.44,28842,20938,30.9,20938.0
run_6_repetition_0,moe,False,False,True,10,0,6,1,3,0,0.7756,0.7756,0.7613,True,,0.0123,0.0,0.1,9.8,0.0,28910,21117,31.3,
run_4_repetition_2,moe,False,False,True,10,2,5,1,2,0,0.752,0.8462,0.8372,False,,0.0123,0.0,0.1,11.6,9.42,28717,20868,30.8,10434.0
run_5_repetition_0,moe,False,False,True,20,1,17,0,2,0,0.753,0.815,0.8051,False,,0.0123,0.0,0.0,25.8,6.2,61274,42746,31.7,42746.0
run_5_repetition_1,moe,False,False,True,20,1,12,1,6,0,0.7568,0.8254,0.8217,False,,0.0123,0.0,0.05,22.2,6.86,62783,43694,32.3,43694.0
run_5_repetition_2,moe,False,False,True,20,2,15,2,1,0,0.7656,0.8546,0.8457,False,,0.0123,0.0,0.1,24.6,8.9,63465,44824,33.1,22412.0
run_7_repetition_2,moe,False,False,True,20,1,16,1,2,0,0.7604,0.875,0.8645,False,,0.0123,0.0,0.05,25.1,11.46,63702,44202,32.9,44202.0
run_6_repetition_2,moe,False,False,True,10,1,6,2,1,0,0.7622,0.8414,0.8344,False,,0.0123,0.0,0.2,11.0,7.92,28667,20940,30.9,20940.0
run_6_repetition_1,moe,False,False,True,10,4,5,0,1,0,0.7558,0.8456,0.8444,False,,0.0123,0.0,0.0,13.3,8.98,30198,22308,33.1,5577.0
run_7_repetition_1,moe,False,False,True,20,2,16,0,2,0,0.7692,0.8414,0.8305,False,,0.0123,0.0,0.0,25.7,7.22,60880,42021,31.3,21010.0
run_7_repetition_0,moe,False,False,True,20,1,1,3,15,0,0.7536,0.8094,0.7984,False,,0.0123,0.0,0.15,14.3,5.58,66231,44658,33.5,44658.0
