iter,propose_t0,propose_t1,train_t0,train_t1,prompt_tokens,completion_tokens,proposer_latency_s,guard_ok,guard_violations,val_acc,decision,exit_code,discarded_by_rollback,E_prop_J,E_train_J,E_iter_J,proposer,patience,loop_budget,run
1,1786522969.739169,1786523029.624618,1786523029.6395576,1786523032.3098495,2591,2052,59.88534188270569,True,[],,errored,1.0,False,5340.339,38.114,5378.453,dense,1,10,run_0_repetition_0
2,1786523032.3251898,1786523091.311312,1786523091.325872,1786523139.1529472,2896,2019,58.98599791526794,True,[],0.7712,keep,0.0,False,5556.706,4328.757,9885.463,dense,1,10,run_0_repetition_0
3,1786523139.1557384,1786523198.7933855,1786523198.800182,1786523246.6807826,2724,2049,59.63751649856568,True,[],0.7472,reverted,0.0,True,5334.732,4833.616,10168.348,dense,1,10,run_0_repetition_0
4,1786523246.687835,1786523308.6246452,1786523308.6314845,1786523356.565226,2756,2128,61.9366819858551,True,[],0.7402,reverted,0.0,True,5587.143,4764.877,10352.02,dense,1,10,run_0_repetition_0
5,1786523356.5723011,1786523417.0492864,1786523417.056182,1786523464.9339736,2789,2076,60.476855754852295,True,[],0.805,keep,0.0,False,5620.705,4290.215,9910.92,dense,1,10,run_0_repetition_0
6,1786523464.9368129,1786523526.390687,1786523526.3973336,1786523574.2778127,2877,2107,61.45378828048706,True,[],0.864,keep,0.0,False,5555.154,4805.775,10360.929,dense,1,10,run_0_repetition_0
7,1786523574.2801726,1786523640.5493526,1786523640.5647354,1786523643.285848,2938,2271,66.2690954208374,True,[],,errored,1.0,False,6021.976,33.684,6055.66,dense,1,10,run_0_repetition_0
8,1786523643.2939649,1786523707.5165153,1786523707.5240912,1786523755.5097992,3211,2191,64.22242212295532,True,[],0.8514,reverted,0.0,True,6067.819,4859.963,10927.782,dense,1,10,run_0_repetition_0
9,1786523755.517116,1786523825.588684,1786523825.6029418,1786523828.3711324,2993,2400,70.07142901420593,True,[],,errored,1.0,False,6406.06,41.89,6447.950000000001,dense,1,10,run_0_repetition_0
10,1786523828.3779602,1786523892.040198,1786523892.0472486,1786523940.1240685,3194,2173,63.66214919090271,True,[],0.2816,reverted,0.0,True,5915.06,4486.928,10401.988,dense,1,10,run_0_repetition_0
1,1786516914.760418,1786516974.118553,1786516974.125343,1786517022.0499885,2591,2038,59.358033180236816,True,[],0.4126,reverted,0.0,True,5301.628,4048.254,9349.882,dense,1,10,run_0_repetition_1
2,1786517022.056573,1786517080.7266755,1786517080.741437,1786517128.5170257,2637,2018,58.6700074672699,True,[],0.1016,reverted,0.0,True,5349.483,4467.243,9816.726,dense,1,10,run_0_repetition_1
3,1786517128.524502,1786517190.468681,1786517190.4754827,1786517238.4009776,2669,2130,61.944084882736206,True,[],0.1976,reverted,0.0,True,5675.747,4478.713,10154.46,dense,1,10,run_0_repetition_1
4,1786517238.408006,1786517297.242571,1786517297.2495482,1786517345.1764288,2702,2022,58.83443236351013,True,[],0.6646,reverted,0.0,True,5352.698,4317.056,9669.754,dense,1,10,run_0_repetition_1
5,1786517345.1842208,1786517404.721645,1786517404.7356884,1786517452.6630611,2735,2046,59.537336111068726,True,[],0.6624,reverted,0.0,True,5452.702,4477.643,9930.345,dense,1,10,run_0_repetition_1
6,1786517452.6709254,1786517512.3484378,1786517512.355445,1786517560.230788,2768,2050,59.67742776870728,True,[],0.3526,reverted,0.0,True,5486.571,4526.493,10013.064,dense,1,10,run_0_repetition_1
7,1786517560.2368178,1786517620.1641653,1786517620.1706705,1786517668.0947835,2801,2058,59.92725920677185,True,[],0.6474,reverted,0.0,True,5446.711,4320.325,9767.036,dense,1,10,run_0_repetition_1
8,1786517668.1018047,1786517727.9575603,1786517727.9644337,1786517775.8364615,2834,2055,59.85566854476929,True,[],0.3296,reverted,0.0,True,5462.333,4608.958,10071.291,dense,1,10,run_0_repetition_1
9,1786517775.8440084,1786517834.61797,1786517834.624375,1786517837.3450208,2867,2017,58.77387285232544,True,[],,errored,1.0,False,5411.114,41.668,5452.781999999999,dense,1,10,run_0_repetition_1
10,1786517837.3517675,1786517897.1616302,1786517897.1688542,1786517944.9434605,3171,2042,59.8097767829895,True,[],0.8126,keep,0.0,False,5750.495,4490.288,10240.783,dense,1,10,run_0_repetition_1
1,1786551302.9618714,1786551362.9675882,1786551362.975564,1786551410.9030333,2591,2057,60.00561428070069,True,[],0.3212,reverted,0.0,True,5866.475,4910.709,10777.184,dense,1,10,run_0_repetition_2
2,1786551410.911121,1786551471.2842867,1786551471.2995534,1786551519.174155,2637,2077,60.373074531555176,True,[],0.6628,reverted,0.0,True,5932.149,4922.202,10854.351,dense,1,10,run_0_repetition_2
3,1786551519.1806476,1786551579.1499507,1786551579.15679,1786551627.032625,2670,2063,59.96914839744568,True,[],0.6326,reverted,0.0,True,5878.662,4775.533,10654.195,dense,1,10,run_0_repetition_2
4,1786551627.0389438,1786551685.9285257,1786551685.9347937,1786551733.8611276,2703,2025,58.88949918746948,True,[],0.5204,reverted,0.0,True,5891.591,4663.455,10555.046,dense,1,10,run_0_repetition_2
5,1786551733.8679285,1786551793.1501167,1786551793.1647215,1786551841.0403917,2736,2038,59.28210091590881,True,[],0.666,reverted,0.0,True,5845.335,4932.867,10778.202,dense,1,10,run_0_repetition_2
6,1786551841.0467644,1786551900.122931,1786551900.137512,1786551902.8076894,2769,2030,59.07608962059021,True,[],,errored,1.0,False,5805.01,43.812,5848.822,dense,1,10,run_0_repetition_2
7,1786551902.8148904,1786551963.135372,1786551963.1496942,1786551965.8199506,3066,2062,60.32039642333984,True,[],,errored,1.0,False,6086.995,39.424,6126.419,dense,1,10,run_0_repetition_2
8,1786551965.8284633,1786552024.0746837,1786552024.0891018,1786552071.8612435,3094,1990,58.2461326122284,True,[],0.8136,keep,0.0,False,6038.352,4963.9,11002.252,dense,1,10,run_0_repetition_2
9,1786552071.8642886,1786552134.9914634,1786552135.006368,1786552137.6767683,2879,2166,63.12708902359009,True,[],,errored,1.0,False,6224.491,48.584,6273.075,dense,1,10,run_0_repetition_2
10,1786552137.6845117,1786552198.2302454,1786552198.2371123,1786552246.1126833,3153,2068,60.54564785957336,True,[],0.777,reverted,0.0,True,6084.629,4818.899,10903.528,dense,1,10,run_0_repetition_2
1,1786518127.9735436,1786518190.6703255,1786518190.6774487,1786518238.5559337,2591,2153,62.6966826915741,True,[],0.7926,keep,0.0,False,5560.647,4296.475,9857.122,dense,1,20,run_1_repetition_0
2,1786518238.5584528,1786518302.9896123,1786518302.9995155,1786518351.0320375,2829,2209,64.43106245994568,True,[],0.7756,reverted,0.0,True,5858.036,4789.708,10647.744,dense,1,20,run_1_repetition_0
3,1786518351.0389838,1786518414.5054605,1786518414.5201602,1786518462.4447176,2863,2176,63.466389656066895,True,[],0.7972,reverted,0.0,True,5804.57,4553.618,10358.188,dense,1,20,run_1_repetition_0
4,1786518462.4522038,1786518526.579277,1786518526.5868762,1786518574.5132816,2896,2198,64.12698817253113,True,[],0.8126,keep,0.0,False,5869.995,4421.473,10291.468,dense,1,20,run_1_repetition_0
5,1786518574.516348,1786518639.325724,1786518639.340561,1786518687.2674625,2971,2219,64.8092827796936,True,[],0.8286,keep,0.0,False,6048.674,4394.624,10443.298,dense,1,20,run_1_repetition_0
6,1786518687.2699957,1786518754.5734298,1786518754.581199,1786518802.509375,3027,2303,67.30330491065979,True,[],0.0894,reverted,0.0,True,6150.786,4691.967,10842.753,dense,1,20,run_1_repetition_0
7,1786518802.5156386,1786518870.0476034,1786518870.0623353,1786518917.9910362,3059,2310,67.53187847137451,True,[],0.0964,reverted,0.0,True,6165.994,4635.512,10801.506,dense,1,20,run_1_repetition_0
8,1786518917.997543,1786518985.304375,1786518985.3111174,1786519033.2893822,3091,2302,67.30674600601196,True,[],0.0894,reverted,0.0,True,6291.485,4451.477,10742.962,dense,1,20,run_1_repetition_0
9,1786519033.296022,1786519100.6816628,1786519100.6886806,1786519148.6657517,3123,2304,67.38554239273071,True,[],0.0964,reverted,0.0,True,6299.788,4146.59,10446.378,dense,1,20,run_1_repetition_0
10,1786519148.6726253,1786519215.951092,1786519215.958459,1786519263.8875902,3155,2300,67.27833151817322,True,[],0.0894,reverted,0.0,True,6182.703,4497.538,10680.241,dense,1,20,run_1_repetition_0
11,1786519263.8950367,1786519331.229094,1786519331.2431762,1786519379.2234404,3188,2301,67.33397126197815,True,[],0.0924,reverted,0.0,True,6227.437,4724.366,10951.803,dense,1,20,run_1_repetition_0
12,1786519379.229679,1786519446.556964,1786519446.5644236,1786519494.5415895,3221,2300,67.32720232009888,True,[],0.0924,reverted,0.0,True,6260.621,4418.955,10679.576,dense,1,20,run_1_repetition_0
13,1786519494.5488727,1786519561.9007275,1786519561.9075117,1786519609.884352,3254,2300,67.35176348686218,True,[],0.1024,reverted,0.0,True,6161.485,4234.716,10396.201,dense,1,20,run_1_repetition_0
14,1786519609.89056,1786519674.5622249,1786519674.5698838,1786519722.4983094,3287,2208,64.6715338230133,True,[],0.8306,reverted,0.0,True,5895.579,4360.814,10256.393,dense,1,20,run_1_repetition_0
15,1786519722.5065746,1786519788.3476822,1786519788.3626845,1786519836.2884915,3320,2248,65.8410153388977,True,[],0.8022,reverted,0.0,True,6008.008,4681.862,10689.87,dense,1,20,run_1_repetition_0
16,1786519836.2953994,1786519904.1890116,1786519904.2036035,1786519952.1302462,3353,2317,67.89352488517761,True,[],0.0964,reverted,0.0,True,6175.706,4470.857,10646.563,dense,1,20,run_1_repetition_0
17,1786519952.136245,1786520020.1839848,1786520020.1914425,1786520068.1174135,3386,2322,68.04765439033508,True,[],0.0964,reverted,0.0,True,6215.343,4297.338,10512.681,dense,1,20,run_1_repetition_0
18,1786520068.1239774,1786520135.750077,1786520135.757178,1786520183.733618,3419,2307,67.62601232528687,True,[],0.1044,reverted,0.0,True,6200.296,4274.886,10475.182,dense,1,20,run_1_repetition_0
19,1786520183.741048,1786520251.247222,1786520251.254349,1786520299.1820097,3452,2302,67.50608658790588,True,[],0.0924,reverted,0.0,True,6307.918,4515.453,10823.371,dense,1,20,run_1_repetition_0
20,1786520299.1897242,1786520366.665151,1786520366.6735485,1786520414.6005833,3485,2301,67.47533965110779,True,[],0.0924,reverted,0.0,True,6143.543,4603.989,10747.532,dense,1,20,run_1_repetition_0
1,1786514821.472797,1786514881.542012,1786514881.5487924,1786514929.4734762,2591,2063,60.06910991668701,True,[],0.6562,reverted,0.0,True,5671.269,4506.108,10177.377,dense,1,20,run_1_repetition_1
2,1786514929.479986,1786514989.4197445,1786514989.4340005,1786515037.3611348,2637,2062,59.93966460227966,True,[],0.6508,reverted,0.0,True,5610.458,4446.702,10057.16,dense,1,20,run_1_repetition_1
3,1786515037.368203,1786515096.1724946,1786515096.179314,1786515098.900003,2673,2022,58.80420804023743,True,[],,errored,1.0,False,5594.512,52.621,5647.133,dense,1,20,run_1_repetition_1
4,1786515098.9152832,1786515159.119113,1786515159.1256373,1786515161.795797,2982,2059,60.20374608039856,True,[],,errored,1.0,False,5943.416,45.878,5989.294,dense,1,20,run_1_repetition_1
5,1786515161.8031056,1786515221.394836,1786515221.401542,1786515224.1219158,3012,2037,59.59164309501648,True,[],,errored,1.0,False,5973.103,43.941,6017.044,dense,1,20,run_1_repetition_1
6,1786515224.1363077,1786515284.4403253,1786515284.4549658,1786515332.230022,3033,2061,60.30393505096436,True,[],0.7294,reverted,0.0,True,5913.285,4746.195,10659.48,dense,1,20,run_1_repetition_1
7,1786515332.2375376,1786515392.062876,1786515392.0693176,1786515394.7889538,2769,2055,59.825254917144775,True,[],,errored,1.0,False,5659.192,39.78,5698.972,dense,1,20,run_1_repetition_1
8,1786515394.7955754,1786515455.5053198,1786515455.5197368,1786515458.2409449,3091,2074,60.70966053009033,True,[],,errored,1.0,False,5954.653,49.721,6004.374,dense,1,20,run_1_repetition_1
9,1786515458.2480752,1786515519.3254051,1786515519.3400047,1786515567.2151897,3124,2086,61.07724666595459,True,[],0.626,reverted,0.0,True,6087.094,4565.579,10652.673,dense,1,20,run_1_repetition_1
10,1786515567.2233472,1786515627.548357,1786515627.5627265,1786515675.4422042,2850,2069,60.324923038482666,True,[],0.3384,reverted,0.0,True,5681.658,4130.426,9812.084,dense,1,20,run_1_repetition_1
11,1786515675.4485867,1786515737.4077911,1786515737.4150865,1786515785.3446865,2888,2126,61.95907735824585,True,[],0.0924,reverted,0.0,True,5871.783,4563.198,10434.981,dense,1,20,run_1_repetition_1
12,1786515785.3521285,1786515843.4685476,1786515843.4749978,1786515891.249044,2926,1993,58.116334438323975,True,[],0.5942,reverted,0.0,True,5581.745,4567.571,10149.316,dense,1,20,run_1_repetition_1
13,1786515891.2571626,1786515952.233305,1786515952.2401202,1786516000.1283605,2960,2091,60.97605752944946,True,[],0.8412,keep,0.0,False,5747.186,4583.139,10330.325,dense,1,20,run_1_repetition_1
14,1786516000.1311705,1786516063.865884,1786516063.8798242,1786516066.6497695,3114,2181,63.734628200531006,True,[],,errored,1.0,False,6035.068,58.571,6093.639,dense,1,20,run_1_repetition_1
