__run_id,__done,proposer,patience,loop_budget,E_total_J,E_prop_J,E_train_J,E_cpu_J,E_wasted_J,E_per_kept_J,gap_fraction,test_acc,best_val_acc,baseline_val_acc,iterations,kept,reverted,rejected,errored,wallclock_s,prompt_tokens,completion_tokens,proposer_latency_s_mean,no_progress,alignment_ok,,,,,,,,,,,,,,
run_5_repetition_2,DONE,moe,greedy,20,134194.41999999998,50577.781,83616.639,,101844.325,67097.20999999999,0.14418916971361403,0.8457,0.8546,0.7656,20,2,15,2,1,1474.3182575702667,63465,44824,33.09108619689941,False,True,,,,,,,,,,,,,,
run_5_repetition_1,DONE,moe,greedy,20,129615.301,52920.619,76694.682,,101142.593,129615.301,0.16409701505843055,0.8217,0.8254,0.7568,20,1,12,1,6,1334.080172777176,62783,43694,32.34158848524093,False,True,,,,,,,,,,,,,,
run_2_repetition_0,DONE,dense,patience3,10,104753.093,60900.88,43852.213,,69765.87700000001,52376.5465,0.1376205092101672,0.8155,0.8282,0.7564,10,2,6,0,2,1039.6642382144928,28647,20585,60.057856464385985,False,True,,,,,,,,,,,,,,
run_1_repetition_1,DONE,dense,greedy,20,207519.236,127105.175,80414.061,,171414.279,207519.236,0.12420357985512236,0.8404,0.8412,0.7602,20,1,13,0,6,1957.8590667247772,60242,41751,60.97467851638794,False,True,,,,,,,,,,,,,,
run_0_repetition_1,DONE,dense,greedy,10,109628.06700000001,60074.815,49553.252,,84225.34,109628.06700000001,0.13830348755487967,0.8064,0.8126,0.7634,10,1,8,0,1,1080.1877031326294,27775,20476,59.63878991603851,False,True,,,,,,,,,,,,,,
run_1_repetition_0,DONE,dense,greedy,20,236101.56900000002,131980.907,104120.662,,180698.94400000002,78700.523,0.10508501533930942,0.822,0.8286,0.7658,20,3,17,0,0,2337.4538493156433,62970,45380,66.37051565647126,False,True,,,,,,,,,,,,,,
run_4_repetition_1,DONE,moe,greedy,10,46691.224,21364.697,25326.527,,30626.395000000004,46691.224,0.2080316849264864,0.8272,0.8394,0.765,10,1,3,3,3,557.7497684955597,28842,20938,30.88650212287903,False,True,,,,,,,,,,,,,,
run_7_repetition_2,DONE,moe,patience3,20,134125.80099999998,48902.189,85223.612,,108719.435,134125.80099999998,0.14105965339211637,0.8645,0.875,0.7604,20,1,16,1,2,1506.6189696788788,63702,44202,32.89629693031311,False,True,,,,,,,,,,,,,,
run_0_repetition_0,DONE,dense,greedy,10,103392.615,61575.137,41817.478,,59732.201,34464.205,0.1306002561208072,0.8575,0.864,0.7538,10,3,4,0,3,1020.5473804473877,28969,21466,62.66012780666351,False,True,,,,,,,,,,,,,,
run_2_repetition_2,DONE,dense,patience3,10,109206.25699999998,66048.237,43158.02,,92768.257,,0.1505225108118117,0.7505,0.7638,0.7638,10,0,7,0,3,1010.2644956111908,29625,21049,61.487635946273805,True,True,,,,,,,,,,,,,,
run_6_repetition_0,DONE,moe,patience3,10,50081.909,22043.811,28038.098,,39875.756,,0.20378921658118102,0.7613,0.7756,0.7756,10,0,6,1,3,590.5094759464264,28910,21117,31.284096050262452,True,True,,,,,,,,,,,,,,
