run,proposer,patience,loop_budget,seed,attribution,stub,synthetic_data,iterations,aborted_early,kept,reverted,rejected,errored,err_infra_timeout,err_infra_transport,err_contract_violation,err_guard_rejection,err_train_crash,err_train_timeout,infra_errors,infra_error_rate,evaluated_iterations,baseline_val_acc,best_val_acc,test_acc,best_iter,no_progress,eps,valid,invalid_reason,E_train_J,E_prop_J,E_gpu_total_J,E_wasted_J,E_per_kept_J,gap_fraction,alignment_ok,wallclock_s,prompt_tokens,completion_tokens,proposer_latency_s_mean,iters_to_first_keep
run_0_repetition_0,dense,1,10,9,per_device,False,False,10,False,3,4,0,3,0,0,0,0,3,0,0,0.0,7,0.7538,0.864,0.8575,6,False,0.0123,True,,41817.478,61575.137,103392.615,59732.201,34464.205,0.1306002561208072,True,1020.5473804473877,28969,21466,62.66012780666351,2.0
run_0_repetition_1,dense,1,10,5,per_device,False,False,10,False,1,8,0,1,0,0,0,0,1,0,0,0.0,9,0.7634,0.8126,0.8064,10,False,0.0123,True,,49553.252,60074.815,109628.06700000001,84225.34,109628.06700000001,0.13830348755487967,True,1080.1877031326294,27775,20476,59.63878991603851,10.0
run_0_repetition_2,dense,1,10,16,per_device,False,False,10,False,1,6,0,3,0,0,0,0,3,0,0,0.0,7,0.769,0.8136,0.8003,8,False,0.0123,True,,45210.156,65427.167,110637.323,82770.82200000001,110637.323,0.15242820905925192,True,993.0907597541809,28298,20576,59.98347928524017,8.0
run_1_repetition_0,dense,1,20,6,per_device,False,False,20,False,3,17,0,0,0,0,0,0,0,0,0,0.0,20,0.7658,0.8286,0.822,5,False,0.0123,True,,104120.662,131980.907,236101.56900000002,180698.94400000002,78700.523,0.10508501533930942,True,2337.4538493156433,62970,45380,66.37051565647126,1.0
run_1_repetition_1,dense,1,20,4,per_device,False,False,20,False,1,13,0,6,0,0,0,0,6,0,0,0.0,14,0.7602,0.8412,0.8404,13,False,0.0123,True,,80414.061,127105.175,207519.236,171414.279,207519.236,0.12420357985512236,True,1957.8590667247772,60242,41751,60.97467851638794,13.0
run_1_repetition_2,dense,1,20,21,per_device,False,False,20,False,0,19,0,1,0,0,0,0,1,0,0,0.0,19,0.7676,0.7676,0.7523,0,True,0.0123,True,,108321.579,129839.615,238161.19400000002,209048.835,,0.12223804605212057,True,2160.8965051174164,58943,41092,59.91690248250961,
run_2_repetition_0,dense,3,10,3,per_device,False,False,10,False,2,6,0,2,0,0,0,0,2,0,0,0.0,8,0.7564,0.8282,0.8155,10,False,0.0123,True,,43852.213,60900.88,104753.093,69765.87700000001,52376.5465,0.1376205092101672,True,1039.6642382144928,28647,20585,60.057856464385985,9.0
run_2_repetition_1,dense,3,10,24,per_device,False,False,10,False,0,7,0,3,0,0,0,0,3,0,0,0.0,7,0.7584,0.7584,0.7527,0,True,0.0123,True,,40771.209,61601.311,102372.52,88951.29299999999,,0.13110185233302857,True,1019.0592856407166,29228,21427,62.51789543628693,
run_2_repetition_2,dense,3,10,10,per_device,False,False,10,False,0,7,0,3,0,0,0,0,3,0,0,0.0,7,0.7638,0.7638,0.7505,0,True,0.0123,True,,43158.02,66048.237,109206.25699999998,92768.257,,0.1505225108118117,True,1010.2644956111908,29625,21049,61.487635946273805,
run_3_repetition_0,dense,3,20,17,per_device,False,False,20,False,0,1,0,19,0,0,0,0,19,0,0,0.0,1,0.761,0.761,0.7572,0,True,0.0123,True,,18181.206,119068.292,137249.498,121814.03199999999,,0.11246282299699195,True,1400.9778332710266,67118,42513,62.42427276372909,
