run,model,stub,synthetic,valid,iterations,kept,reverted,rejected,errored,infra_errors,baseline_val_acc,best_val_acc,test_acc,no_progress,invalid_reason,eps,contract_violation_rate,guard_rejection_rate,wallclock_min,delta_val_acc_pp,total_prompt_tokens,total_completion_tokens,mean_proposer_latency_s,tokens_per_kept
run_0_repetition_2,dense,False,False,True,10,0,10,0,0,0,0.7642,0.7642,0.7533,True,,0.0123,0.0,0.0,18.8,0.0,27504,20529,59.7,
run_1_repetition_2,dense,False,False,True,10,2,4,0,4,0,0.754,0.835,0.8255,False,,0.0123,0.0,0.0,27.6,8.1,28934,43082,126.3,21541.0
run_0_repetition_0,dense,False,False,True,10,1,9,0,0,0,0.7486,0.773,0.7599,False,,0.0123,0.0,0.0,18.8,2.44,27672,20615,60.0,20615.0
run_1_repetition_1,dense,False,False,True,10,1,3,0,6,0,0.7678,0.877,0.8653,False,,0.0123,0.0,0.0,26.0,10.92,30669,44465,130.5,44465.0
run_0_repetition_1,dense,False,False,True,10,0,7,0,3,0,0.7626,0.7626,0.7583,True,,0.0123,0.0,0.0,16.6,0.0,28077,20707,60.4,
run_1_repetition_0,dense,False,False,True,10,1,6,0,3,0,0.7616,0.8746,0.8561,False,,0.0123,0.0,0.0,33.5,11.3,29271,54895,161.2,54895.0
run_2_repetition_0,moe,False,False,True,10,3,3,1,3,0,0.7596,0.8584,0.8435,False,,0.0123,0.0,0.1,10.9,9.88,28608,20731,30.7,6910.0
run_3_repetition_1,moe,False,False,True,10,1,3,1,5,0,0.7644,0.8118,0.8048,False,,0.0123,0.0,0.1,17.5,4.74,28776,53854,79.4,53854.0
run_3_repetition_0,moe,False,False,True,10,1,4,1,4,0,0.753,0.8564,0.8443,False,,0.0123,0.0,0.1,22.5,10.34,29134,67961,100.7,67961.0
run_2_repetition_1,moe,False,False,True,10,1,3,3,3,0,0.7538,0.8476,0.834,False,,0.0123,0.0,0.3,9.3,9.38,28405,20906,30.8,20906.0
run_2_repetition_2,moe,False,False,True,10,2,3,1,4,0,0.7678,0.872,0.8632,False,,0.0123,0.0,0.1,10.4,10.42,29858,21590,32.1,10795.0
run_3_repetition_2,moe,False,False,True,10,1,4,1,4,0,0.7634,0.8726,0.8644,False,,0.0123,0.0,0.1,19.2,10.92,29980,57819,85.2,57819.0
