iter,propose_t0,propose_t1,train_t0,train_t1,prompt_tokens,completion_tokens,proposer_latency_s,guard_ok,guard_violations,val_acc,decision,exit_code,discarded_by_rollback,E_prop_J,E_train_J,E_iter_J,proposer,patience,loop_budget,run
1,1786597578.191784,1786597638.1635866,1786597638.1705327,1786597686.09821,2591,2056,59.97169947624207,True,[],0.3124,reverted,0.0,True,5443.864,4560.185,10004.049,dense,1,10,run_0_repetition_0
2,1786597686.104435,1786597745.7117124,1786597745.726498,1786597793.6508515,2637,2051,59.6071367263794,True,[],0.658,reverted,0.0,True,5306.088,4610.537,9916.625,dense,1,10,run_0_repetition_0
3,1786597793.6575425,1786597853.5116544,1786597853.5262697,1786597901.3024063,2670,2059,59.85402274131775,True,[],0.7432,reverted,0.0,True,5566.828,4246.177,9813.005,dense,1,10,run_0_repetition_0
4,1786597901.3088417,1786597960.9668827,1786597960.9737236,1786598008.8971338,2704,2051,59.65790390968323,True,[],0.6658,reverted,0.0,True,5538.097,4417.628,9955.725,dense,1,10,run_0_repetition_0
5,1786598008.9038932,1786598067.5596766,1786598067.566657,1786598115.290455,2737,2016,58.65564703941345,True,[],0.6828,reverted,0.0,True,5237.149,4676.32,9913.469,dense,1,10,run_0_repetition_0
6,1786598115.2976332,1786598175.0467646,1786598175.0530512,1786598222.9279757,2770,2053,59.74904656410217,True,[],0.6308,reverted,0.0,True,5551.352,4206.002,9757.354,dense,1,10,run_0_repetition_0
7,1786598222.933586,1786598281.220966,1786598281.2273166,1786598329.1081264,2803,2002,58.28729486465454,True,[],0.773,keep,0.0,False,5417.426,4625.296,10042.722000000002,dense,1,10,run_0_repetition_0
8,1786598329.111184,1786598389.969192,1786598389.976221,1786598437.9138527,2888,2088,60.85788297653198,True,[],0.5378,reverted,0.0,True,5472.901,4829.961,10302.862,dense,1,10,run_0_repetition_0
9,1786598437.9212644,1786598498.566887,1786598498.5737784,1786598546.455614,2920,2080,60.6455352306366,True,[],0.639,reverted,0.0,True,5617.23,4484.08,10101.31,dense,1,10,run_0_repetition_0
10,1786598546.4627771,1786598609.4145236,1786598609.4216256,1786598657.5121975,2952,2159,62.951658964157104,True,[],0.2994,reverted,0.0,True,5829.246,4373.392,10202.638,dense,1,10,run_0_repetition_0
1,1786583246.5188336,1786583306.2481425,1786583306.2549715,1786583308.875817,2591,2046,59.72920846939087,True,[],,errored,1.0,False,5307.282,42.302,5349.584,dense,1,10,run_0_repetition_1
2,1786583308.88384,1786583366.3680055,1786583366.3750372,1786583414.0994875,3031,1962,57.48407578468323,True,[],0.7062,reverted,0.0,True,5393.223,4398.901,9792.124,dense,1,10,run_0_repetition_1
3,1786583414.106142,1786583472.5633762,1786583472.5774574,1786583520.455619,2659,2010,58.45714998245239,True,[],0.0964,reverted,0.0,True,5301.544,4366.026,9667.57,dense,1,10,run_0_repetition_1
4,1786583520.4614627,1786583580.7684596,1786583580.783072,1786583628.7668498,2691,2073,60.30687022209168,True,[],0.1674,reverted,0.0,True,5433.84,4181.146,9614.986,dense,1,10,run_0_repetition_1
5,1786583628.773126,1786583692.8727636,1786583692.8872333,1786583741.2779012,2723,2203,64.0995192527771,True,[],0.0894,reverted,0.0,True,5920.728,4157.776,10078.504,dense,1,10,run_0_repetition_1
6,1786583741.2847424,1786583805.514116,1786583805.5287216,1786583853.869775,2755,2207,64.22928953170776,True,[],0.3402,reverted,0.0,True,5801.251,4450.214,10251.465,dense,1,10,run_0_repetition_1
7,1786583853.8769042,1786583913.228683,1786583913.2355556,1786583961.1108463,2785,2038,59.351643800735474,True,[],0.2502,reverted,0.0,True,5377.15,4160.383,9537.533,dense,1,10,run_0_repetition_1
8,1786583961.1165872,1786584021.861683,1786584021.8683963,1786584069.6429906,2818,2085,60.74500823020935,True,[],0.727,reverted,0.0,True,5610.445,4429.784,10040.229,dense,1,10,run_0_repetition_1
9,1786584069.6500404,1786584129.344504,1786584129.3519754,1786584132.0728705,2850,2048,59.694382429122925,True,[],,errored,1.0,False,5363.312,38.076,5401.388,dense,1,10,run_0_repetition_1
10,1786584132.07978,1786584191.7072492,1786584191.714793,1786584194.3848932,3174,2035,59.62738227844238,True,[],,errored,1.0,False,5506.448,33.161,5539.609,dense,1,10,run_0_repetition_1
1,1786592523.2748754,1786592583.2299752,1786592583.2368977,1786592631.1121032,2591,2056,59.954996824264526,True,[],0.6134,reverted,0.0,True,5269.919,4420.809,9690.728,dense,1,10,run_0_repetition_2
2,1786592631.1197264,1786592691.7685697,1786592691.7757862,1786592739.8061984,2637,2087,60.64875316619873,True,[],0.526,reverted,0.0,True,5523.739,4236.656,9760.395,dense,1,10,run_0_repetition_2
3,1786592739.8140311,1786592799.5511007,1786592799.557593,1786592847.4319177,2669,2055,59.73698306083679,True,[],0.6346,reverted,0.0,True,5390.909,4536.87,9927.779,dense,1,10,run_0_repetition_2
4,1786592847.4390504,1786592907.3064516,1786592907.313326,1786592955.1881375,2702,2059,59.86731767654419,True,[],0.6478,reverted,0.0,True,5372.97,4442.506,9815.476,dense,1,10,run_0_repetition_2
5,1786592955.1952617,1786593014.3104763,1786593014.3173864,1786593062.3487618,2735,2032,59.1151328086853,True,[],0.6664,reverted,0.0,True,5421.623,4255.6,9677.223,dense,1,10,run_0_repetition_2
6,1786593062.3558702,1786593122.328355,1786593122.3351748,1786593170.21028,2768,2061,59.9724018573761,True,[],0.6638,reverted,0.0,True,5400.434,4514.877,9915.311000000002,dense,1,10,run_0_repetition_2
7,1786593170.216538,1786593228.958634,1786593228.9653506,1786593276.8404045,2801,2018,58.74201488494873,True,[],0.2128,reverted,0.0,True,5267.673,4236.178,9503.851,dense,1,10,run_0_repetition_2
8,1786593276.846738,1786593336.1910548,1786593336.20531,1786593384.2370963,2834,2038,59.34423542022705,True,[],0.6332,reverted,0.0,True,5436.175,4266.392,9702.567,dense,1,10,run_0_repetition_2
9,1786593384.2441778,1786593443.809914,1786593443.8167524,1786593491.740202,2867,2045,59.56563663482666,True,[],0.6604,reverted,0.0,True,5381.685,4523.846,9905.531,dense,1,10,run_0_repetition_2
10,1786593491.7467031,1786593552.2857907,1786593552.300745,1786593600.130066,2900,2078,60.53896546363831,True,[],0.7732,reverted,0.0,True,5421.255,4707.844,10129.099,dense,1,10,run_0_repetition_2
1,1786586398.3197944,1786586558.6797054,1786586558.6864965,1786586606.6085522,2587,5475,160.35980010032654,True,[],0.8746,keep,0.0,False,14513.122,4275.415,18788.537,dense,1,10,run_1_repetition_0
2,1786586606.6118364,1786586720.3181946,1786586720.3257744,1786586723.4964633,2734,3900,113.70626425743104,True,[],,errored,1.0,False,10518.913,63.449,10582.362,dense,1,10,run_1_repetition_0
3,1786586723.5033262,1786586886.9874454,1786586886.9942472,1786586889.8648648,3160,5553,163.48403239250183,True,[],,errored,1.0,False,15326.903,23.063,15349.966,dense,1,10,run_1_repetition_0
4,1786586889.879995,1786587057.4527948,1786587057.467321,1786587060.2881153,3179,5689,167.57270741462708,True,[],,errored,1.0,False,15774.425,36.525,15810.95,dense,1,10,run_1_repetition_0
5,1786587060.2951963,1786587196.2272887,1786587196.2360363,1786587244.16073,3144,4631,135.93200206756592,True,[],0.8212,reverted,0.0,True,12730.867,4115.102,16845.969,dense,1,10,run_1_repetition_0
6,1786587244.168015,1786587410.1265714,1786587410.1414502,1786587458.0684798,2829,5657,165.95847272872925,True,[],0.8288,reverted,0.0,True,15373.45,4290.202,19663.652,dense,1,10,run_1_repetition_0
7,1786587458.0758092,1786587607.0940888,1786587607.101421,1786587655.0811744,2861,5088,149.01818370819092,True,[],0.8022,reverted,0.0,True,13989.13,4037.864,18026.994,dense,1,10,run_1_repetition_0
8,1786587655.0882275,1786587842.0280435,1786587842.0351987,1786587890.009897,2894,6354,186.93972992897037,True,[],0.324,reverted,0.0,True,17486.848,3783.75,21270.598,dense,1,10,run_1_repetition_0
9,1786587890.0166545,1786588055.269631,1786588055.2846217,1786588103.2082446,2926,5629,165.2528817653656,True,[],0.6366,reverted,0.0,True,15316.04,3459.158,18775.198,dense,1,10,run_1_repetition_0
10,1786588103.214981,1786588307.3160746,1786588307.323375,1786588355.2471504,2957,6919,204.1009576320648,True,[],0.8252,reverted,0.0,True,19040.53,4335.055,23375.585,dense,1,10,run_1_repetition_0
1,1786588541.5206606,1786588636.3300488,1786588636.3369598,1786588684.11206,2587,3256,94.80927801132202,True,[],0.877,keep,0.0,False,8626.869,4401.741,13028.61,dense,1,10,run_1_repetition_1
2,1786588684.1153803,1786588836.7934494,1786588836.8015535,1786588839.4699144,2826,5210,152.67797756195068,True,[],,errored,1.0,False,13996.437,42.859,14039.296,dense,1,10,run_1_repetition_1
3,1786588839.476774,1786588939.4502976,1786588939.464777,1786588987.239096,3222,3410,99.97343492507936,True,[],0.874,reverted,0.0,True,9529.659,4582.741,14112.4,dense,1,10,run_1_repetition_1
4,1786588987.2447572,1786589109.843751,1786589109.858928,1786589112.7305367,2881,4194,122.59890413284302,True,[],,errored,1.0,False,11249.244,25.555,11274.799,dense,1,10,run_1_repetition_1
5,1786589112.7464118,1786589264.90643,1786589264.9214706,1786589267.6418898,3195,5172,152.15993094444275,True,[],,errored,1.0,False,14564.413,42.527,14606.94,dense,1,10,run_1_repetition_1
6,1786589267.648791,1786589427.7721536,1786589427.7869315,1786589475.5630884,3295,5433,160.12327456474304,True,[],0.833,reverted,0.0,True,14936.9,4547.779,19484.679,dense,1,10,run_1_repetition_1
7,1786589475.5704236,1786589603.1538277,1786589603.162003,1786589606.2334878,2957,4360,127.5833191871643,True,[],,errored,1.0,False,11882.836,51.563,11934.399,dense,1,10,run_1_repetition_1
8,1786589606.2395678,1786589788.4897535,1786589788.5044315,1786589791.3758712,3368,6166,182.2500970363617,True,[],,errored,1.0,False,17216.432,53.89,17270.322,dense,1,10,run_1_repetition_1
9,1786589791.3827474,1786589895.9972043,1786589896.0121312,1786589943.786515,3305,3566,104.61437320709229,True,[],0.7576,reverted,0.0,True,9695.03,4650.68,14345.71,dense,1,10,run_1_repetition_1
10,1786589943.7925851,1786590051.9061692,1786590051.9141004,1786590054.4348392,3033,3698,108.11345195770264,True,[],,errored,1.0,False,10140.754,35.442,10176.196,dense,1,10,run_1_repetition_1
1,1786593776.4895065,1786593935.2930768,1786593935.3003263,1786593938.1714363,2587,5426,158.8034634590149,True,[],,errored,1.0,False,14351.649,33.5,14385.149,dense,1,10,run_1_repetition_2
