__run_id,__done,proposer,thinking,E_total_J,E_prop_J,E_train_J,E_cpu_J,E_wasted_J,E_per_kept_J,gap_fraction,test_acc,best_val_acc,baseline_val_acc,iterations,kept,reverted,rejected,errored,wallclock_s,prompt_tokens,completion_tokens,proposer_latency_s_mean,no_progress,alignment_ok,thinking_tokens_total,max_val_acc_observed,,,,,,,,,,,,,,,
run_0_repetition_1,DONE,dense,off,98448.29800000001,58806.749,39641.549,,85272.992,,0.13382969810204348,0.7583,0.7626,0.7626,10,0,7,0,3,997.8083107471466,28077,20707,60.372452998161314,True,True,0,0.727,False,0,0,0,0,3,0,0,0.0,7,0,0.0123,off,True,
run_3_repetition_1,DONE,moe,on,80848.415,52726.954,28121.461,,59896.062,80848.415,0.1567424914885468,0.8048,0.8118,0.7644,10,1,3,1,5,1049.7105152606964,28776,53854,79.37435443401337,False,True,33081,0.8118,False,0,0,0,1,5,0,0,0.0,4,6,0.0123,on,True,
run_2_repetition_0,DONE,moe,off,55942.45,21766.299,34176.151,,26871.365000000005,18647.483333333334,0.17763574888121633,0.8435,0.8584,0.7596,10,3,3,1,3,654.2071244716644,28608,20731,30.737524032592773,False,True,0,0.8584,False,0,0,0,1,3,0,0,0.0,6,9,0.0123,off,True,
run_1_repetition_0,DONE,dense,on,198293.775,154375.962,43917.813,,159701.274,198293.775,0.09987183914371496,0.8561,0.8746,0.7616,10,1,6,0,3,2007.7406516075134,29271,54895,161.23250319957734,False,True,36140,0.8746,False,0,0,0,0,3,0,0,0.0,7,1,0.0123,on,True,
run_1_repetition_1,DONE,dense,on,156084.848,124073.716,32011.132,,127244.741,156084.848,0.10130065283466833,0.8653,0.877,0.7678,10,1,3,0,6,1562.9266476631165,30669,44465,130.49040415287018,False,True,23909,0.877,False,0,0,0,0,6,0,0,0.0,4,1,0.0123,on,True,
run_2_repetition_2,DONE,moe,off,53387.009,22746.155,30640.854,,29634.114999999998,26693.5045,0.20118328786690412,0.8632,0.872,0.7678,10,2,3,1,4,622.3780357837677,29858,21590,32.101900815963745,False,True,0,0.872,False,0,0,0,1,4,0,0,0.0,5,7,0.0123,off,True,
run_3_repetition_0,DONE,moe,on,105700.9,67138.662,38562.238,,79855.84099999999,105700.9,0.14298276552044503,0.8443,0.8564,0.753,10,1,4,1,4,1352.154715538025,29134,67961,100.73286516666413,False,True,47904,0.8564,False,0,0,0,1,4,0,0,0.0,5,4,0.0123,on,True,
run_0_repetition_2,DONE,dense,off,112425.685,58872.556,53553.129,,98027.95999999999,,0.1280643742575374,0.7533,0.7642,0.7642,10,0,10,0,0,1126.8485205173492,27504,20529,59.74864377975464,True,True,0,0.7732,False,0,0,0,0,0,0,0,0.0,10,0,0.0123,off,True,
run_1_repetition_2,DONE,dense,on,163495.47499999998,121514.055,41981.42,,121541.506,81747.73749999999,0.10670869025580053,0.8255,0.835,0.754,10,2,4,0,4,1656.1902439594269,28934,43082,126.26388516426087,False,True,24342,0.835,False,0,0,0,0,4,0,0,0.0,6,6,0.0123,on,True,
run_2_repetition_1,DONE,moe,off,47049.775,21578.499,25471.276,,31039.485999999997,47049.775,0.20406756461640888,0.834,0.8476,0.7538,10,1,3,3,3,557.3933465480804,28405,20906,30.838665747642516,False,True,0,0.8476,False,0,0,0,3,3,0,0,0.0,4,3,0.0123,off,True,
run_3_repetition_2,DONE,moe,on,89322.079,57245.407,32076.672,,64071.39199999999,89322.079,0.16036933040933807,0.8644,0.8726,0.7634,10,1,4,1,4,1154.3436934947968,29980,57819,85.18450517654419,False,True,37622,0.8728,False,0,0,0,1,4,0,0,0.0,5,1,0.0123,on,True,
run_0_repetition_0,DONE,dense,off,113461.912,59928.215,53533.697,,89967.03699999998,113461.912,0.11856095814778801,0.7599,0.773,0.7486,10,1,9,0,0,1129.4912855625153,27672,20615,60.02378284931183,False,True,0,0.773,False,0,0,0,0,0,0,0,0.0,10,7,0.0123,off,True,
