run,proposer,patience,loop_budget,seed,attribution,stub,synthetic_data,iterations,aborted_early,kept,reverted,rejected,errored,err_infra_timeout,err_infra_transport,err_contract_violation,err_guard_rejection,err_train_crash,err_train_timeout,infra_errors,infra_error_rate,evaluated_iterations,baseline_val_acc,best_val_acc,test_acc,best_iter,no_progress,eps,thinking_requested,thinking_tokens_total,max_val_acc_observed,valid,invalid_reason,E_train_J,E_prop_J,E_gpu_total_J,E_wasted_J,E_per_kept_J,gap_fraction,alignment_ok,wallclock_s,prompt_tokens,completion_tokens,proposer_latency_s_mean,iters_to_first_keep
run_0_repetition_0,dense,1,10,12,per_device,False,False,10,False,1,9,0,0,0,0,0,0,0,0,0,0.0,10,0.7486,0.773,0.7599,7,False,0.0123,off,0,0.773,True,,53533.697,59928.215,113461.912,89967.03699999998,113461.912,0.11856095814778801,True,1129.4912855625153,27672,20615,60.02378284931183,7.0
run_0_repetition_1,dense,1,10,1,per_device,False,False,10,False,0,7,0,3,0,0,0,0,3,0,0,0.0,7,0.7626,0.7626,0.7583,0,True,0.0123,off,0,0.727,True,,39641.549,58806.749,98448.29800000001,85272.992,,0.13382969810204348,True,997.8083107471466,28077,20707,60.372452998161314,
run_0_repetition_2,dense,1,10,8,per_device,False,False,10,False,0,10,0,0,0,0,0,0,0,0,0,0.0,10,0.7642,0.7642,0.7533,0,True,0.0123,off,0,0.7732,True,,53553.129,58872.556,112425.685,98027.95999999999,,0.1280643742575374,True,1126.8485205173492,27504,20529,59.74864377975464,
run_1_repetition_0,dense,1,10,4,per_device,False,False,10,False,1,6,0,3,0,0,0,0,3,0,0,0.0,7,0.7616,0.8746,0.8561,1,False,0.0123,on,36140,0.8746,True,,43917.813,154375.962,198293.775,159701.274,198293.775,0.09987183914371496,True,2007.7406516075134,29271,54895,161.23250319957734,1.0
run_1_repetition_1,dense,1,10,5,per_device,False,False,10,False,1,3,0,6,0,0,0,0,6,0,0,0.0,4,0.7678,0.877,0.8653,1,False,0.0123,on,23909,0.877,True,,32011.132,124073.716,156084.848,127244.741,156084.848,0.10130065283466833,True,1562.9266476631165,30669,44465,130.49040415287018,1.0
run_1_repetition_2,dense,1,10,9,per_device,False,False,10,False,2,4,0,4,0,0,0,0,4,0,0,0.0,6,0.754,0.835,0.8255,6,False,0.0123,on,24342,0.835,True,,41981.42,121514.055,163495.47499999998,121541.506,81747.73749999999,0.10670869025580053,True,1656.1902439594269,28934,43082,126.26388516426087,4.0
run_2_repetition_0,moe,1,10,3,per_device,False,False,10,False,3,3,1,3,0,0,0,1,3,0,0,0.0,6,0.7596,0.8584,0.8435,9,False,0.0123,off,0,0.8584,True,,34176.151,21766.299,55942.45,26871.365000000005,18647.483333333334,0.17763574888121633,True,654.2071244716644,28608,20731,30.737524032592773,1.0
run_2_repetition_1,moe,1,10,10,per_device,False,False,10,False,1,3,3,3,0,0,0,3,3,0,0,0.0,4,0.7538,0.8476,0.834,3,False,0.0123,off,0,0.8476,True,,25471.276,21578.499,47049.775,31039.485999999997,47049.775,0.20406756461640888,True,557.3933465480804,28405,20906,30.838665747642516,3.0
run_2_repetition_2,moe,1,10,6,per_device,False,False,10,False,2,3,1,4,0,0,0,1,4,0,0,0.0,5,0.7678,0.872,0.8632,7,False,0.0123,off,0,0.872,True,,30640.854,22746.155,53387.009,29634.114999999998,26693.5045,0.20118328786690412,True,622.3780357837677,29858,21590,32.101900815963745,3.0
run_3_repetition_0,moe,1,10,7,per_device,False,False,10,False,1,4,1,4,0,0,0,1,4,0,0,0.0,5,0.753,0.8564,0.8443,4,False,0.0123,on,47904,0.8564,True,,38562.238,67138.662,105700.9,79855.84099999999,105700.9,0.14298276552044503,True,1352.154715538025,29134,67961,100.73286516666413,4.0
run_3_repetition_1,moe,1,10,2,per_device,False,False,10,False,1,3,1,5,0,0,0,1,5,0,0,0.0,4,0.7644,0.8118,0.8048,6,False,0.0123,on,33081,0.8118,True,,28121.461,52726.954,80848.415,59896.062,80848.415,0.1567424914885468,True,1049.7105152606964,28776,53854,79.37435443401337,6.0
run_3_repetition_2,moe,1,10,11,per_device,False,False,10,False,1,4,1,4,0,0,0,1,4,0,0,0.0,5,0.7634,0.8726,0.8644,1,False,0.0123,on,37622,0.8728,True,,32076.672,57245.407,89322.079,64071.39199999999,89322.079,0.16036933040933807,True,1154.3436934947968,29980,57819,85.18450517654419,1.0
