__run_id,__done,temperature,E_total_J,E_prop_J,E_train_J,E_cpu_J,E_wasted_J,E_per_kept_J,gap_fraction,test_acc,best_val_acc,baseline_val_acc,iterations,kept,reverted,rejected,errored,wallclock_s,prompt_tokens,completion_tokens,proposer_latency_s_mean,no_progress,alignment_ok,thinking_tokens_total,max_val_acc_observed,proposal_similarity_mean,proposal_similarity_max,proposals_compared,,,,,,,,,,,,,,,
run_3_repetition_2,DONE,1.0,62008.409,22724.929,39283.48,,31422.814,20669.469666666668,0.17882234327282936,0.8052,0.8182,0.7512,10,3,4,2,1,696.0538203716278,28586,20930,30.819154715538026,False,True,0,0.8304,0.9694,0.9999,10,False,0,0,0,2,1,0,0,0.0,7,4,0.0123,unset,True,
run_1_repetition_0,DONE,0.4,68619.242,25487.902,43131.34,,41336.87,34309.621,0.1964174130632337,0.852,0.8536,0.7622,10,2,5,1,2,700.575662612915,28363,20886,30.991509890556337,False,True,0,0.8536,0.9703,0.9997,10,False,0,0,0,1,2,0,0,0.0,7,7,0.0123,unset,True,
run_0_repetition_1,DONE,0.0,55211.064999999995,21996.35,33214.715,,32653.388000000003,27605.532499999998,0.18685555150946617,0.8634,0.866,0.7542,10,2,4,2,2,645.5691723823547,27943,20895,30.534298729896545,False,True,0,0.866,0.939,0.9995,10,False,0,0,0,2,2,0,0,0.0,6,10,0.0123,unset,True,
run_2_repetition_2,DONE,0.7,66960.662,23828.527,43132.135,,36544.885,22320.220666666664,0.1659174307446362,0.8355,0.8394,0.7636,10,3,4,1,2,760.0275535583496,29751,21995,32.60935792922974,False,True,0,0.8394,0.9764,0.9996,10,False,0,0,0,1,2,0,0,0.0,7,8,0.0123,unset,True,
run_3_repetition_0,DONE,1.0,78838.575,25063.81,53774.765,,51925.425,39419.2875,0.17718105635470957,0.854,0.8676,0.7534,10,2,8,0,0,843.8105540275574,28556,21036,31.293352341651918,False,True,0,0.8676,0.979,1.0,10,False,0,0,0,0,0,0,0,0.0,10,6,0.0123,unset,True,
run_0_repetition_0,DONE,0.0,70906.12,23062.263,47843.857,,46863.501000000004,35453.06,0.16201205199212707,0.8428,0.8486,0.767,10,2,7,1,0,793.6299605369568,28915,21423,31.304136943817138,False,True,0,0.8486,0.9825,1.0,10,False,0,0,0,1,0,0,0,0.0,9,3,0.0123,unset,True,
run_2_repetition_1,DONE,0.7,42472.715,21229.68,21243.035,,33127.334,,0.22003257856249583,0.7541,0.7626,0.7626,10,0,3,3,4,513.1160991191864,28457,20755,30.84511215686798,True,True,0,0.7608,0.951,0.9961,10,False,0,0,0,3,4,0,0,0.0,3,0,0.0123,unset,True,
run_2_repetition_0,DONE,0.7,56879.833,22861.933,34017.9,,40457.354,56879.833,0.17600079803328525,0.8514,0.8676,0.7686,10,1,5,1,3,669.7842860221863,29560,21839,32.41483633518219,False,True,0,0.8704,0.9824,1.0,10,False,0,0,0,1,3,0,0,0.0,6,1,0.0123,unset,True,
run_0_repetition_2,DONE,0.0,71267.668,23489.233,47778.435,,53804.728,71267.668,0.156645857978684,0.7804,0.7936,0.7654,10,1,8,1,0,800.9657025337219,29097,21897,32.001158118247986,False,True,0,0.7936,0.971,1.0,10,False,0,0,0,1,0,0,0,0.0,9,1,0.0123,unset,True,
run_1_repetition_2,DONE,0.4,60752.60800000001,22104.793,38647.815,,44089.34100000001,60752.60800000001,0.17139237874364185,0.7919,0.7982,0.764,10,1,6,1,2,698.9176709651947,28282,20695,30.654283809661866,False,True,0,0.8016,0.9795,1.0,10,False,0,0,0,1,2,0,0,0.0,7,3,0.0123,unset,True,
run_1_repetition_1,DONE,0.4,67382.73300000001,23699.916,43682.817,,43062.509,33691.366500000004,0.1620945383737998,0.8227,0.8272,0.762,10,2,6,2,0,753.9363694190979,29432,21614,32.06119394302368,False,True,0,0.837,0.9844,1.0,10,False,0,0,0,2,0,0,0,0.0,8,2,0.0123,unset,True,
run_3_repetition_1,DONE,1.0,57292.028,23295.53,33996.498,,33925.990999999995,28646.014,0.18382719843675283,0.7928,0.7984,0.7498,10,2,4,3,1,666.9217493534088,28923,21979,32.702494502067566,False,True,0,0.7984,0.9651,1.0,10,False,0,0,0,3,1,0,0,0.0,6,8,0.0123,unset,True,
