run,proposer,patience,loop_budget,seed,attribution,stub,synthetic_data,iterations,aborted_early,kept,reverted,rejected,errored,err_infra_timeout,err_infra_transport,err_contract_violation,err_guard_rejection,err_train_crash,err_train_timeout,infra_errors,infra_error_rate,evaluated_iterations,baseline_val_acc,best_val_acc,test_acc,best_iter,no_progress,eps,thinking_requested,thinking_tokens_total,max_val_acc_observed,temperature,proposal_similarity_mean,proposal_similarity_max,proposals_compared,valid,invalid_reason,E_train_J,E_prop_J,E_gpu_total_J,E_wasted_J,E_per_kept_J,gap_fraction,alignment_ok,wallclock_s,prompt_tokens,completion_tokens,proposer_latency_s_mean,iters_to_first_keep
run_0_repetition_0,moe,1,10,6,per_device,False,False,10,False,2,7,1,0,0,0,0,1,0,0,0,0.0,9,0.767,0.8486,0.8428,3,False,0.0123,unset,0,0.8486,0.0,0.9825,1.0,10,True,,47843.857,23062.263,70906.12,46863.501000000004,35453.06,0.16201205199212707,True,793.6299605369568,28915,21423,31.304136943817138,2.0
run_0_repetition_1,moe,1,10,3,per_device,False,False,10,False,2,4,2,2,0,0,0,2,2,0,0,0.0,6,0.7542,0.866,0.8634,10,False,0.0123,unset,0,0.866,0.0,0.939,0.9995,10,True,,33214.715,21996.35,55211.064999999995,32653.388000000003,27605.532499999998,0.18685555150946617,True,645.5691723823547,27943,20895,30.534298729896545,2.0
run_0_repetition_2,moe,1,10,9,per_device,False,False,10,False,1,8,1,0,0,0,0,1,0,0,0,0.0,9,0.7654,0.7936,0.7804,1,False,0.0123,unset,0,0.7936,0.0,0.971,1.0,10,True,,47778.435,23489.233,71267.668,53804.728,71267.668,0.156645857978684,True,800.9657025337219,29097,21897,32.001158118247986,1.0
run_1_repetition_0,moe,1,10,2,per_device,False,False,10,False,2,5,1,2,0,0,0,1,2,0,0,0.0,7,0.7622,0.8536,0.852,7,False,0.0123,unset,0,0.8536,0.4,0.9703,0.9997,10,True,,43131.34,25487.902,68619.242,41336.87,34309.621,0.1964174130632337,True,700.575662612915,28363,20886,30.991509890556337,3.0
run_1_repetition_1,moe,1,10,11,per_device,False,False,10,False,2,6,2,0,0,0,0,2,0,0,0,0.0,8,0.762,0.8272,0.8227,2,False,0.0123,unset,0,0.837,0.4,0.9844,1.0,10,True,,43682.817,23699.916,67382.73300000001,43062.509,33691.366500000004,0.1620945383737998,True,753.9363694190979,29432,21614,32.06119394302368,1.0
run_1_repetition_2,moe,1,10,10,per_device,False,False,10,False,1,6,1,2,0,0,0,1,2,0,0,0.0,7,0.764,0.7982,0.7919,3,False,0.0123,unset,0,0.8016,0.4,0.9795,1.0,10,True,,38647.815,22104.793,60752.60800000001,44089.34100000001,60752.60800000001,0.17139237874364185,True,698.9176709651947,28282,20695,30.654283809661866,3.0
run_2_repetition_0,moe,1,10,8,per_device,False,False,10,False,1,5,1,3,0,0,0,1,3,0,0,0.0,6,0.7686,0.8676,0.8514,1,False,0.0123,unset,0,0.8704,0.7,0.9824,1.0,10,True,,34017.9,22861.933,56879.833,40457.354,56879.833,0.17600079803328525,True,669.7842860221863,29560,21839,32.41483633518219,1.0
run_2_repetition_1,moe,1,10,7,per_device,False,False,10,False,0,3,3,4,0,0,0,3,4,0,0,0.0,3,0.7626,0.7626,0.7541,0,True,0.0123,unset,0,0.7608,0.7,0.951,0.9961,10,True,,21243.035,21229.68,42472.715,33127.334,,0.22003257856249583,True,513.1160991191864,28457,20755,30.84511215686798,
run_2_repetition_2,moe,1,10,4,per_device,False,False,10,False,3,4,1,2,0,0,0,1,2,0,0,0.0,7,0.7636,0.8394,0.8355,8,False,0.0123,unset,0,0.8394,0.7,0.9764,0.9996,10,True,,43132.135,23828.527,66960.662,36544.885,22320.220666666664,0.1659174307446362,True,760.0275535583496,29751,21995,32.60935792922974,1.0
run_3_repetition_0,moe,1,10,5,per_device,False,False,10,False,2,8,0,0,0,0,0,0,0,0,0,0.0,10,0.7534,0.8676,0.854,6,False,0.0123,unset,0,0.8676,1.0,0.979,1.0,10,True,,53774.765,25063.81,78838.575,51925.425,39419.2875,0.17718105635470957,True,843.8105540275574,28556,21036,31.293352341651918,1.0
run_3_repetition_1,moe,1,10,12,per_device,False,False,10,False,2,4,3,1,0,0,0,3,1,0,0,0.0,6,0.7498,0.7984,0.7928,8,False,0.0123,unset,0,0.7984,1.0,0.9651,1.0,10,True,,33996.498,23295.53,57292.028,33925.990999999995,28646.014,0.18382719843675283,True,666.9217493534088,28923,21979,32.702494502067566,1.0
run_3_repetition_2,moe,1,10,1,per_device,False,False,10,False,3,4,2,1,0,0,0,2,1,0,0,0.0,7,0.7512,0.8182,0.8052,4,False,0.0123,unset,0,0.8304,1.0,0.9694,0.9999,10,True,,39283.48,22724.929,62008.409,31422.814,20669.469666666668,0.17882234327282936,True,696.0538203716278,28586,20930,30.819154715538026,2.0
