iter,propose_t0,propose_t1,train_t0,train_t1,prompt_tokens,completion_tokens,proposer_latency_s,guard_ok,guard_violations,val_acc,decision,exit_code,discarded_by_rollback,E_prop_J,E_train_J,E_iter_J,proposer,patience,loop_budget,run
1,1786612344.1781323,1786612403.3492715,1786612403.3563385,1786612451.2789576,2591,2042,59.17103981971741,True,[],0.3278,reverted,0,True,5483.736,4160.113,9643.849,dense,1,10,run_0_repetition_0
2,1786612451.2848015,1786612512.2364647,1786612512.2435095,1786612560.274792,2637,2111,60.95157051086426,True,[],0.3066,reverted,0,True,5806.745,4598.771,10405.516,dense,1,10,run_0_repetition_0
3,1786612560.2815535,1786612619.6852508,1786612619.6918316,1786612667.565947,2669,2057,59.40360903739929,True,[],0.6548,reverted,0,True,5800.414,4592.86,10393.274,dense,1,10,run_0_repetition_0
4,1786612667.573398,1786612726.80904,1786612726.823542,1786612774.699254,2702,2051,59.23550868034363,True,[],0.312,reverted,0,True,5665.848,4660.408,10326.256,dense,1,10,run_0_repetition_0
5,1786612774.70517,1786612834.0729182,1786612834.0798588,1786612882.112056,2735,2054,59.3676700592041,True,[],0.6404,reverted,0,True,5708.263,4637.128,10345.391,dense,1,10,run_0_repetition_0
6,1786612882.1185696,1786612941.3190212,1786612941.326547,1786612989.2003715,2768,2048,59.20036959648132,True,[],0.6442,reverted,0,True,5811.209,4579.758,10390.967,dense,1,10,run_0_repetition_0
7,1786612989.2070055,1786613048.42297,1786613048.4377985,1786613096.3134923,2801,2048,59.21587777137756,True,[],0.6586,reverted,0,True,5665.869,4523.574,10189.443,dense,1,10,run_0_repetition_0
8,1786613096.3202133,1786613155.4352384,1786613155.4500186,1786613203.4300106,2834,2044,59.11493945121765,True,[],0.6144,reverted,0,True,5686.889,4650.727,10337.616,dense,1,10,run_0_repetition_0
9,1786613203.4373007,1786613262.694445,1786613262.7011192,1786613310.578469,2867,2048,59.25701451301575,True,[],0.667,reverted,0,True,5816.669,4587.271,10403.94,dense,1,10,run_0_repetition_0
10,1786613310.583779,1786613369.9465103,1786613369.9612534,1786613417.884354,2900,2051,59.36264419555664,True,[],0.318,reverted,0,True,5695.449,4644.954,10340.402999999998,dense,1,10,run_0_repetition_0
1,1786616083.8367598,1786616142.8130894,1786616142.827742,1786616190.7019794,2591,2038,58.97618579864502,True,[],0.1764,reverted,0,True,5318.257,4365.213,9683.47,dense,1,10,run_0_repetition_1
2,1786616190.7075248,1786616249.8179808,1786616249.832811,1786616297.7061896,2637,2047,59.110360622406006,True,[],0.6722,reverted,0,True,5609.87,4626.964,10236.834,dense,1,10,run_0_repetition_1
3,1786616297.713311,1786616356.2248917,1786616356.239392,1786616404.11462,2670,2026,58.511494398117065,True,[],0.479,reverted,0,True,5471.432,4243.69,9715.122,dense,1,10,run_0_repetition_1
4,1786616404.1231482,1786616464.181809,1786616464.190176,1786616512.0722094,2703,2079,60.05857062339783,True,[],0.8014,keep,0,False,5525.631,4596.233,10121.864,dense,1,10,run_0_repetition_1
5,1786616512.0752337,1786616574.7383957,1786616574.7455795,1786616622.6798785,2852,2164,62.66307520866394,True,[],0.8372,keep,0,False,6012.534,4779.391,10791.925,dense,1,10,run_0_repetition_1
6,1786616622.6831737,1786616685.9080992,1786616685.922753,1786616734.1693275,2976,2179,63.22483134269714,True,[],0.7834,reverted,0,True,5917.845,4580.225,10498.07,dense,1,10,run_0_repetition_1
7,1786616734.1760886,1786616799.6956325,1786616799.71071,1786616847.7987869,3009,2258,65.51945567131042,True,[],0.8464,reverted,0,True,6133.283,4561.16,10694.443,dense,1,10,run_0_repetition_1
8,1786616847.8053098,1786616911.031511,1786616911.045852,1786616959.2926152,3042,2178,63.22611927986145,True,[],0.7826,reverted,0,True,6006.12,4531.909,10538.029,dense,1,10,run_0_repetition_1
9,1786616959.3005729,1786617024.872042,1786617024.879397,1786617072.91827,3075,2258,65.57134008407593,True,[],0.8468,reverted,0,True,6049.606,4841.677,10891.283,dense,1,10,run_0_repetition_1
10,1786617072.925108,1786617139.175621,1786617139.1903534,1786617187.230186,3108,2281,66.2504255771637,True,[],0.8582,keep,0,False,6160.762,4766.286,10927.048,dense,1,10,run_0_repetition_1
1,1786617367.0751772,1786617426.0540433,1786617426.0618186,1786617473.936904,2591,2039,58.97875809669495,True,[],0.1708,reverted,0,True,5473.609,4337.718,9811.327,dense,1,10,run_0_repetition_2
2,1786617473.9452336,1786617533.061855,1786617533.076774,1786617580.9997685,2637,2047,59.1165292263031,True,[],0.665,reverted,0,True,5393.863,4358.662,9752.525,dense,1,10,run_0_repetition_2
3,1786617581.0066864,1786617639.5266857,1786617639.540983,1786617687.4159727,2670,2026,58.51990985870361,True,[],0.482,reverted,0,True,5369.47,4531.939,9901.409,dense,1,10,run_0_repetition_2
4,1786617687.4225984,1786617747.333712,1786617747.3410814,1786617795.375114,2703,2074,59.91102361679077,True,[],0.341,reverted,0,True,5668.579,4361.917,10030.496,dense,1,10,run_0_repetition_2
5,1786617795.3817456,1786617854.0366812,1786617854.0511537,1786617902.034069,2735,2029,58.65484261512756,True,[],0.6838,reverted,0,True,5369.987,4424.88,9794.867,dense,1,10,run_0_repetition_2
